Window_Size,N_Peaks,Overlap,Significance,Mean_Frequencies_Per_Window,Mean_Frequencies_Per_Window_Without_First_npeaks_Freqs,Mean_Quantile_Without_First_npeaks_Freqs,est_DB_Size_MB
30,3,8,0.01,2.13,0.29,0.99,14.58
30,3,15,0.01,2.16,0.28,0.99,19.94
50,3,13,0.001,1.97,0.22,0.99,4.99
50,2,13,0.1,1.95,0.22,0.87,4.99
50,3,25,0.001,2.01,0.21,0.99,6.73
50,3,38,0.001,2.06,0.21,0.99,14.02
50,2,25,0.1,1.96,0.19,0.84,5.51
40,2,10,0.1,1.94,0.17,0.86,3.68
50,2,38,0.1,1.97,0.17,0.74,9.19
40,3,10,0.001,1.93,0.14,0.98,2.49
40,2,20,0.1,1.95,0.14,0.82,3.74
40,2,30,0.1,1.96,0.13,0.7,6.45
40,3,30,0.001,1.99,0.12,0.98,5.49
40,3,20,0.001,1.95,0.12,0.98,2.75
50,2,13,5.0,2.0,0.12,0.06,1.48
50,1,13,0.1,0.99,0.12,0.92,1.48
50,2,38,5.0,2.0,0.12,0.04,4.58
50,2,25,5.0,2.0,0.11,0.05,1.85
50,1,25,0.1,0.99,0.11,0.89,1.85
40,1,10,0.1,0.98,0.1,0.9,1.27
30,2,8,0.1,1.93,0.1,0.84,1.73
40,2,30,5.0,2.0,0.1,0.04,3.81
50,1,38,0.1,0.99,0.09,0.83,2.58
40,2,10,5.0,2.0,0.09,0.08,1.03
30,2,15,0.1,1.94,0.09,0.81,2.06
40,2,20,5.0,2.0,0.09,0.06,1.55
30,2,15,5.0,2.0,0.08,0.07,1.63
40,1,20,0.1,0.99,0.08,0.88,1.22
30,2,23,5.0,2.0,0.08,0.04,3.49
30,2,8,5.0,2.0,0.08,0.07,1.11
30,2,23,0.1,1.96,0.08,0.71,3.49
50,1,13,5.0,1.0,0.08,0.02,0.66
50,2,38,0.01,1.88,0.08,0.36,2.03
30,3,8,0.001,1.9,0.07,0.95,0.85
50,2,25,0.01,1.83,0.07,0.46,0.75
30,1,8,0.1,0.98,0.07,0.89,0.85
50,1,25,5.0,1.0,0.07,0.02,0.75
40,1,30,0.1,0.99,0.07,0.81,1.87
50,2,13,0.01,1.79,0.07,0.53,0.51
50,2,38,0.001,1.85,0.06,0.11,1.14
50,1,38,5.0,1.0,0.06,0.01,1.14
40,2,30,0.01,1.89,0.06,0.29,1.37
40,1,10,5.0,1.0,0.06,0.03,0.46
30,1,15,0.1,0.98,0.06,0.87,0.92
40,1,20,5.0,1.0,0.06,0.03,0.69
30,3,23,0.001,1.96,0.05,0.92,1.36
30,3,15,0.001,1.92,0.05,0.92,0.64
30,1,8,5.0,1.0,0.05,0.04,0.43
30,1,23,0.1,0.99,0.05,0.83,1.36
40,1,30,5.0,1.0,0.05,0.02,0.95
50,2,25,0.001,1.8,0.05,0.15,0.38
40,2,30,0.001,1.88,0.05,0.06,0.95
40,2,10,0.01,1.82,0.05,0.45,0.32
40,2,20,0.01,1.85,0.05,0.4,0.48
50,1,38,0.01,0.95,0.04,0.53,0.51
50,1,13,0.01,0.91,0.04,0.65,0.16
50,1,25,0.01,0.93,0.04,0.58,0.24
30,2,23,0.01,1.91,0.04,0.27,0.87
30,1,15,5.0,1.0,0.04,0.03,0.41
50,2,13,0.001,1.76,0.04,0.17,0.16
40,2,10,0.001,1.79,0.03,0.1,0.11
40,2,20,0.001,1.83,0.03,0.1,0.17
30,1,23,5.0,1.0,0.03,0.02,0.49
30,2,23,0.001,1.9,0.03,0.05,0.49
40,1,20,0.01,0.94,0.03,0.52,0.17
30,2,8,0.01,1.85,0.03,0.39,0.16
30,2,15,0.01,1.88,0.03,0.36,0.23
40,1,30,0.01,0.96,0.03,0.44,0.34
40,1,10,0.01,0.92,0.03,0.54,0.11
50,1,25,0.001,0.91,0.02,0.18,0.06
30,2,8,0.001,1.84,0.02,0.08,0.07
30,1,8,0.01,0.94,0.02,0.5,0.07
50,1,38,0.001,0.94,0.02,0.18,0.13
50,1,13,0.001,0.89,0.02,0.22,0.04
30,1,23,0.01,0.97,0.02,0.45,0.22
30,1,15,0.01,0.95,0.02,0.48,0.1
30,2,15,0.001,1.87,0.02,0.07,0.1
40,1,20,0.001,0.93,0.02,0.12,0.08
40,1,30,0.001,0.95,0.02,0.11,0.15
40,1,10,0.001,0.91,0.02,0.13,0.05
30,1,23,0.001,0.96,0.01,0.12,0.05
30,1,15,0.001,0.94,0.01,0.12,0.03
30,1,8,0.001,0.93,0.01,0.12,0.02

